"ImageId","Label"
1,"2"
2,"0"
3,"7"
4,"7"
5,"2"
6,"9"
7,"0"
8,"3"
9,"0"
10,"3"
11,"3"
12,"7"
13,"9"
14,"0"
15,"4"
16,"0"
17,"3"
18,"1"
19,"9"
20,"0"
21,"9"
22,"1"
23,"5"
24,"5"
25,"9"
26,"9"
27,"2"
28,"4"
29,"7"
30,"7"
31,"7"
32,"9"
33,"9"
34,"3"
35,"6"
36,"3"
37,"9"
38,"7"
39,"1"
40,"6"
41,"7"
42,"9"
43,"7"
44,"4"
45,"3"
46,"9"
47,"5"
48,"8"
49,"1"
50,"5"
51,"6"
52,"3"
53,"5"
54,"8"
55,"8"
56,"2"
57,"5"
58,"2"
59,"1"
60,"0"
61,"7"
62,"5"
63,"7"
64,"6"
65,"0"
66,"0"
67,"1"
68,"7"
69,"0"
70,"5"
71,"6"
72,"9"
73,"8"
74,"8"
75,"2"
76,"0"
77,"3"
78,"9"
79,"2"
80,"3"
81,"8"
82,"9"
83,"1"
84,"8"
85,"9"
86,"5"
87,"4"
88,"8"
89,"6"
90,"7"
91,"5"
92,"0"
93,"6"
94,"6"
95,"5"
96,"9"
97,"8"
98,"7"
99,"9"
100,"9"
101,"0"
102,"3"
103,"5"
104,"0"
105,"7"
106,"9"
107,"0"
108,"3"
109,"0"
110,"4"
111,"4"
112,"0"
113,"6"
114,"5"
115,"1"
116,"7"
117,"5"
118,"5"
119,"3"
120,"8"
121,"3"
122,"9"
123,"2"
124,"5"
125,"5"
126,"3"
127,"3"
128,"7"
129,"5"
130,"7"
131,"3"
132,"8"
133,"1"
134,"0"
135,"0"
136,"0"
137,"3"
138,"1"
139,"8"
140,"6"
141,"4"
142,"3"
143,"9"
144,"8"
145,"5"
146,"8"
147,"4"
148,"9"
149,"5"
150,"5"
151,"5"
152,"8"
153,"8"
154,"8"
155,"8"
156,"5"
157,"7"
158,"3"
159,"9"
160,"8"
161,"3"
162,"0"
163,"7"
164,"3"
165,"1"
166,"5"
167,"7"
168,"4"
169,"3"
170,"0"
171,"2"
172,"7"
173,"9"
174,"6"
175,"1"
176,"3"
177,"7"
178,"4"
179,"1"
180,"2"
181,"4"
182,"8"
183,"3"
184,"2"
185,"7"
186,"9"
187,"5"
188,"1"
189,"5"
190,"0"
191,"6"
192,"5"
193,"4"
194,"4"
195,"6"
196,"0"
197,"9"
198,"9"
199,"6"
200,"9"
201,"1"
202,"9"
203,"0"
204,"9"
205,"9"
206,"0"
207,"8"
208,"4"
209,"6"
210,"2"
211,"0"
212,"9"
213,"3"
214,"6"
215,"7"
216,"2"
217,"1"
218,"6"
219,"3"
220,"9"
221,"2"
222,"8"
223,"1"
224,"8"
225,"2"
226,"8"
227,"9"
228,"6"
229,"1"
230,"0"
231,"0"
232,"9"
233,"7"
234,"5"
235,"7"
236,"8"
237,"2"
238,"3"
239,"3"
240,"6"
241,"3"
242,"6"
243,"2"
244,"3"
245,"9"
246,"3"
247,"9"
248,"4"
249,"8"
250,"6"
251,"4"
252,"4"
253,"1"
254,"1"
255,"8"
256,"7"
257,"8"
258,"5"
259,"9"
260,"3"
261,"2"
262,"3"
263,"8"
264,"8"
265,"9"
266,"0"
267,"6"
268,"8"
269,"6"
270,"5"
271,"6"
272,"0"
273,"6"
274,"3"
275,"7"
276,"4"
277,"5"
278,"3"
279,"8"
280,"7"
281,"0"
282,"7"
283,"1"
284,"0"
285,"3"
286,"1"
287,"9"
288,"1"
289,"4"
290,"7"
291,"8"
292,"9"
293,"7"
294,"7"
295,"7"
296,"6"
297,"3"
298,"8"
299,"3"
300,"3"
301,"6"
302,"7"
303,"8"
304,"2"
305,"1"
306,"2"
307,"7"
308,"5"
309,"7"
310,"3"
311,"8"
312,"8"
313,"9"
314,"8"
315,"0"
316,"8"
317,"7"
318,"7"
319,"1"
320,"8"
321,"9"
322,"5"
323,"1"
324,"9"
325,"8"
326,"7"
327,"9"
328,"1"
329,"3"
330,"7"
331,"6"
332,"3"
333,"5"
334,"3"
335,"8"
336,"7"
337,"0"
338,"8"
339,"6"
340,"8"
341,"6"
342,"2"
343,"1"
344,"8"
345,"6"
346,"0"
347,"3"
348,"8"
349,"3"
350,"8"
351,"4"
352,"9"
353,"7"
354,"5"
355,"9"
356,"8"
357,"3"
358,"4"
359,"2"
360,"5"
361,"3"
362,"6"
363,"3"
364,"3"
365,"7"
366,"2"
367,"8"
368,"3"
369,"1"
370,"4"
371,"7"
372,"3"
373,"4"
374,"9"
375,"9"
376,"6"
377,"4"
378,"8"
379,"3"
380,"7"
381,"4"
382,"5"
383,"3"
384,"4"
385,"2"
386,"6"
387,"5"
388,"1"
389,"8"
390,"7"
391,"1"
392,"9"
393,"4"
394,"4"
395,"6"
396,"5"
397,"5"
398,"1"
399,"7"
400,"3"
401,"9"
402,"7"
403,"6"
404,"5"
405,"1"
406,"5"
407,"4"
408,"3"
409,"8"
410,"3"
411,"3"
412,"8"
413,"9"
414,"5"
415,"4"
416,"9"
417,"1"
418,"1"
419,"3"
420,"8"
421,"4"
422,"6"
423,"6"
424,"8"
425,"3"
426,"1"
427,"9"
428,"7"
429,"9"
430,"9"
431,"4"
432,"8"
433,"3"
434,"2"
435,"6"
436,"1"
437,"3"
438,"4"
439,"8"
440,"0"
441,"5"
442,"4"
443,"9"
444,"9"
445,"1"
446,"4"
447,"5"
448,"5"
449,"3"
450,"7"
451,"9"
452,"9"
453,"4"
454,"7"
455,"3"
456,"4"
457,"1"
458,"3"
459,"1"
460,"3"
461,"1"
462,"7"
463,"8"
464,"0"
465,"7"
466,"1"
467,"7"
468,"9"
469,"4"
470,"1"
471,"1"
472,"7"
473,"4"
474,"8"
475,"8"
476,"0"
477,"5"
478,"8"
479,"1"
480,"6"
481,"9"
482,"3"
483,"1"
484,"2"
485,"7"
486,"4"
487,"9"
488,"7"
489,"3"
490,"9"
491,"4"
492,"7"
493,"3"
494,"7"
495,"4"
496,"7"
497,"3"
498,"3"
499,"2"
500,"0"
501,"6"
502,"8"
503,"7"
504,"4"
505,"5"
506,"8"
507,"3"
508,"3"
509,"6"
510,"6"
511,"9"
512,"1"
513,"3"
514,"9"
515,"8"
516,"8"
517,"5"
518,"9"
519,"7"
520,"2"
521,"2"
522,"4"
523,"0"
524,"7"
525,"7"
526,"1"
527,"0"
528,"1"
529,"1"
530,"9"
531,"0"
532,"7"
533,"8"
534,"8"
535,"9"
536,"8"
537,"6"
538,"3"
539,"7"
540,"8"
541,"0"
542,"3"
543,"9"
544,"1"
545,"0"
546,"3"
547,"0"
548,"7"
549,"2"
550,"1"
551,"5"
552,"3"
553,"0"
554,"3"
555,"3"
556,"0"
557,"4"
558,"8"
559,"6"
560,"2"
561,"8"
562,"8"
563,"5"
564,"5"
565,"6"
566,"3"
567,"5"
568,"1"
569,"5"
570,"4"
571,"4"
572,"8"
573,"3"
574,"5"
575,"0"
576,"4"
577,"1"
578,"2"
579,"7"
580,"2"
581,"8"
582,"5"
583,"2"
584,"6"
585,"7"
586,"5"
587,"9"
588,"3"
589,"8"
590,"8"
591,"8"
592,"8"
593,"5"
594,"8"
595,"2"
596,"6"
597,"4"
598,"6"
599,"0"
600,"3"
601,"1"
602,"1"
603,"7"
604,"1"
605,"1"
606,"2"
607,"8"
608,"7"
609,"6"
610,"5"
611,"7"
612,"7"
613,"3"
614,"3"
615,"2"
616,"4"
617,"4"
618,"8"
619,"0"
620,"4"
621,"8"
622,"3"
623,"9"
624,"9"
625,"3"
626,"3"
627,"1"
628,"8"
629,"6"
630,"9"
631,"6"
632,"1"
633,"8"
634,"6"
635,"5"
636,"9"
637,"7"
638,"9"
639,"8"
640,"3"
641,"0"
642,"4"
643,"9"
644,"6"
645,"7"
646,"7"
647,"7"
648,"4"
649,"1"
650,"8"
651,"7"
652,"9"
653,"8"
654,"0"
655,"1"
656,"2"
657,"7"
658,"3"
659,"8"
660,"9"
661,"2"
662,"3"
663,"7"
664,"0"
665,"4"
666,"5"
667,"5"
668,"3"
669,"3"
670,"6"
671,"3"
672,"9"
673,"7"
674,"3"
675,"8"
676,"9"
677,"9"
678,"1"
679,"6"
680,"0"
681,"6"
682,"9"
683,"8"
684,"1"
685,"1"
686,"3"
687,"4"
688,"6"
689,"7"
690,"9"
691,"3"
692,"6"
693,"0"
694,"1"
695,"8"
696,"4"
697,"3"
698,"9"
699,"8"
700,"8"
701,"9"
702,"0"
703,"4"
704,"0"
705,"6"
706,"0"
707,"7"
708,"4"
709,"6"
710,"8"
711,"3"
712,"8"
713,"5"
714,"8"
715,"8"
716,"6"
717,"2"
718,"3"
719,"9"
720,"3"
721,"9"
722,"2"
723,"5"
724,"0"
725,"1"
726,"6"
727,"6"
728,"9"
729,"7"
730,"7"
731,"7"
732,"5"
733,"3"
734,"6"
735,"9"
736,"7"
737,"5"
738,"3"
739,"1"
740,"8"
741,"9"
742,"7"
743,"3"
744,"9"
745,"8"
746,"7"
747,"8"
748,"7"
749,"3"
750,"6"
751,"9"
752,"9"
753,"4"
754,"7"
755,"5"
756,"5"
757,"7"
758,"1"
759,"5"
760,"3"
761,"7"
762,"0"
763,"7"
764,"0"
765,"4"
766,"0"
767,"0"
768,"3"
769,"5"
770,"8"
771,"4"
772,"8"
773,"0"
774,"5"
775,"8"
776,"8"
777,"4"
778,"6"
779,"3"
780,"5"
781,"5"
782,"6"
783,"7"
784,"8"
785,"3"
786,"8"
787,"8"
788,"7"
789,"3"
790,"3"
791,"8"
792,"6"
793,"7"
794,"0"
795,"9"
796,"8"
797,"5"
798,"6"
799,"9"
800,"7"
801,"1"
802,"1"
803,"8"
804,"3"
805,"1"
806,"7"
807,"9"
808,"6"
809,"8"
810,"1"
811,"8"
812,"9"
813,"7"
814,"8"
815,"4"
816,"9"
817,"8"
818,"9"
819,"7"
820,"5"
821,"3"
822,"0"
823,"8"
824,"0"
825,"5"
826,"9"
827,"3"
828,"4"
829,"5"
830,"2"
831,"5"
832,"8"
833,"3"
834,"4"
835,"3"
836,"7"
837,"6"
838,"1"
839,"3"
840,"1"
841,"5"
842,"4"
843,"0"
844,"3"
845,"5"
846,"8"
847,"9"
848,"2"
