"ImageId","Label"
1,"4"
2,"0"
3,"7"
4,"7"
5,"8"
6,"7"
7,"0"
8,"3"
9,"0"
10,"3"
11,"3"
12,"7"
13,"9"
14,"0"
15,"9"
16,"3"
17,"3"
18,"2"
19,"9"
20,"0"
21,"9"
22,"2"
23,"8"
24,"5"
25,"9"
26,"7"
27,"8"
28,"9"
29,"7"
30,"7"
31,"7"
32,"5"
33,"9"
34,"8"
35,"6"
36,"8"
37,"9"
38,"5"
39,"2"
40,"0"
41,"7"
42,"9"
43,"7"
44,"9"
45,"3"
46,"9"
47,"8"
48,"8"
49,"6"
50,"1"
51,"6"
52,"3"
53,"8"
54,"3"
55,"9"
56,"4"
57,"1"
58,"8"
59,"4"
60,"0"
61,"7"
62,"1"
63,"7"
64,"0"
65,"0"
66,"0"
67,"2"
68,"7"
69,"0"
70,"1"
71,"6"
72,"9"
73,"8"
74,"8"
75,"8"
76,"4"
77,"3"
78,"9"
79,"4"
80,"3"
81,"5"
82,"9"
83,"2"
84,"3"
85,"9"
86,"8"
87,"4"
88,"8"
89,"4"
90,"7"
91,"8"
92,"0"
93,"6"
94,"6"
95,"1"
96,"9"
97,"3"
98,"7"
99,"9"
100,"9"
101,"0"
102,"3"
103,"8"
104,"0"
105,"7"
106,"8"
107,"0"
108,"3"
109,"0"
110,"9"
111,"0"
112,"0"
113,"6"
114,"8"
115,"2"
116,"8"
117,"1"
118,"1"
119,"3"
120,"8"
121,"3"
122,"7"
123,"8"
124,"8"
125,"6"
126,"3"
127,"3"
128,"7"
129,"1"
130,"7"
131,"3"
132,"5"
133,"6"
134,"0"
135,"0"
136,"0"
137,"3"
138,"2"
139,"5"
140,"0"
141,"4"
142,"3"
143,"9"
144,"3"
145,"5"
146,"8"
147,"9"
148,"9"
149,"8"
150,"8"
151,"4"
152,"8"
153,"5"
154,"5"
155,"5"
156,"8"
157,"7"
158,"3"
159,"9"
160,"5"
161,"3"
162,"5"
163,"7"
164,"3"
165,"2"
166,"8"
167,"7"
168,"4"
169,"3"
170,"0"
171,"4"
172,"7"
173,"9"
174,"4"
175,"2"
176,"3"
177,"7"
178,"4"
179,"2"
180,"8"
181,"9"
182,"8"
183,"3"
184,"4"
185,"4"
186,"9"
187,"8"
188,"2"
189,"6"
190,"0"
191,"6"
192,"1"
193,"9"
194,"4"
195,"4"
196,"0"
197,"9"
198,"7"
199,"5"
200,"9"
201,"2"
202,"9"
203,"0"
204,"2"
205,"9"
206,"0"
207,"8"
208,"4"
209,"6"
210,"4"
211,"0"
212,"9"
213,"3"
214,"6"
215,"7"
216,"8"
217,"2"
218,"6"
219,"3"
220,"9"
221,"4"
222,"5"
223,"2"
224,"5"
225,"8"
226,"6"
227,"7"
228,"4"
229,"2"
230,"0"
231,"0"
232,"6"
233,"7"
234,"1"
235,"8"
236,"8"
237,"4"
238,"8"
239,"8"
240,"6"
241,"3"
242,"6"
243,"8"
244,"3"
245,"9"
246,"3"
247,"7"
248,"9"
249,"8"
250,"6"
251,"9"
252,"9"
253,"2"
254,"3"
255,"8"
256,"7"
257,"5"
258,"1"
259,"9"
260,"3"
261,"4"
262,"3"
263,"8"
264,"5"
265,"9"
266,"5"
267,"6"
268,"8"
269,"6"
270,"1"
271,"6"
272,"5"
273,"6"
274,"3"
275,"7"
276,"4"
277,"1"
278,"3"
279,"8"
280,"7"
281,"0"
282,"7"
283,"6"
284,"0"
285,"3"
286,"3"
287,"9"
288,"2"
289,"9"
290,"7"
291,"5"
292,"9"
293,"7"
294,"7"
295,"7"
296,"6"
297,"3"
298,"5"
299,"3"
300,"3"
301,"6"
302,"7"
303,"8"
304,"8"
305,"6"
306,"8"
307,"7"
308,"1"
309,"7"
310,"3"
311,"8"
312,"5"
313,"7"
314,"5"
315,"5"
316,"3"
317,"7"
318,"7"
319,"2"
320,"1"
321,"9"
322,"1"
323,"2"
324,"9"
325,"8"
326,"7"
327,"3"
328,"2"
329,"3"
330,"7"
331,"6"
332,"3"
333,"1"
334,"3"
335,"5"
336,"7"
337,"0"
338,"6"
339,"6"
340,"6"
341,"6"
342,"4"
343,"2"
344,"8"
345,"6"
346,"0"
347,"3"
348,"5"
349,"3"
350,"8"
351,"4"
352,"7"
353,"7"
354,"8"
355,"9"
356,"8"
357,"9"
358,"9"
359,"5"
360,"1"
361,"3"
362,"6"
363,"3"
364,"8"
365,"7"
366,"4"
367,"3"
368,"8"
369,"2"
370,"4"
371,"7"
372,"3"
373,"9"
374,"7"
375,"9"
376,"6"
377,"9"
378,"5"
379,"3"
380,"7"
381,"4"
382,"5"
383,"3"
384,"9"
385,"4"
386,"6"
387,"8"
388,"2"
389,"5"
390,"7"
391,"2"
392,"7"
393,"4"
394,"9"
395,"4"
396,"1"
397,"1"
398,"2"
399,"7"
400,"3"
401,"9"
402,"7"
403,"6"
404,"1"
405,"2"
406,"1"
407,"4"
408,"3"
409,"3"
410,"3"
411,"3"
412,"5"
413,"9"
414,"1"
415,"4"
416,"9"
417,"2"
418,"1"
419,"3"
420,"5"
421,"9"
422,"6"
423,"4"
424,"5"
425,"3"
426,"2"
427,"9"
428,"7"
429,"9"
430,"7"
431,"9"
432,"5"
433,"3"
434,"4"
435,"4"
436,"2"
437,"3"
438,"4"
439,"5"
440,"0"
441,"8"
442,"4"
443,"9"
444,"9"
445,"6"
446,"4"
447,"1"
448,"5"
449,"3"
450,"7"
451,"5"
452,"9"
453,"4"
454,"7"
455,"3"
456,"4"
457,"2"
458,"3"
459,"2"
460,"6"
461,"2"
462,"7"
463,"3"
464,"0"
465,"5"
466,"2"
467,"7"
468,"9"
469,"9"
470,"2"
471,"2"
472,"7"
473,"9"
474,"5"
475,"6"
476,"5"
477,"1"
478,"5"
479,"1"
480,"6"
481,"9"
482,"3"
483,"2"
484,"8"
485,"7"
486,"9"
487,"9"
488,"8"
489,"3"
490,"7"
491,"0"
492,"7"
493,"3"
494,"7"
495,"4"
496,"7"
497,"3"
498,"3"
499,"8"
500,"0"
501,"4"
502,"5"
503,"7"
504,"4"
505,"1"
506,"8"
507,"3"
508,"3"
509,"5"
