"ImageId","Label"
1,"0"
2,"0"
3,"4"
4,"4"
5,"3"
6,"7"
7,"0"
8,"3"
9,"0"
10,"3"
11,"6"
12,"4"
13,"4"
14,"0"
15,"4"
16,"0"
17,"3"
18,"1"
19,"9"
20,"0"
21,"7"
22,"1"
23,"1"
24,"8"
25,"7"
26,"9"
27,"3"
28,"4"
29,"7"
30,"9"
31,"4"
32,"4"
33,"9"
34,"2"
35,"0"
36,"8"
37,"5"
38,"5"
39,"8"
40,"0"
41,"4"
42,"7"
43,"7"
44,"4"
45,"8"
46,"4"
47,"8"
48,"3"
49,"8"
50,"7"
51,"6"
52,"6"
53,"1"
54,"3"
55,"4"
56,"3"
57,"1"
58,"6"
59,"8"
60,"6"
61,"9"
62,"1"
63,"9"
64,"6"
65,"0"
66,"0"
67,"1"
68,"4"
69,"0"
70,"1"
71,"6"
72,"6"
73,"6"
74,"6"
75,"8"
76,"0"
77,"6"
78,"4"
79,"3"
80,"2"
81,"6"
82,"5"
83,"1"
84,"0"
85,"7"
86,"2"
87,"4"
88,"8"
89,"4"
90,"7"
91,"3"
92,"3"
93,"8"
94,"3"
95,"3"
96,"9"
97,"6"
98,"4"
99,"9"
100,"9"
101,"0"
102,"8"
103,"3"
104,"0"
105,"7"
106,"8"
107,"0"
108,"0"
109,"0"
110,"4"
111,"6"
112,"0"
113,"6"
114,"1"
115,"1"
116,"6"
117,"1"
118,"1"
119,"6"
120,"8"
121,"3"
122,"7"
123,"8"
124,"3"
125,"1"
126,"3"
127,"3"
128,"7"
129,"8"
130,"9"
131,"6"
132,"6"
133,"8"
134,"0"
135,"0"
136,"0"
137,"3"
138,"1"
139,"8"
140,"6"
141,"6"
142,"3"
143,"9"
144,"6"
145,"8"
146,"8"
147,"4"
148,"4"
149,"3"
150,"8"
151,"4"
152,"3"
153,"6"
154,"3"
155,"6"
156,"8"
157,"7"
158,"6"
159,"9"
160,"8"
161,"3"
162,"0"
163,"4"
164,"0"
165,"1"
166,"8"
167,"7"
168,"6"
169,"6"
170,"0"
171,"0"
172,"9"
173,"9"
174,"6"
175,"1"
176,"8"
177,"9"
178,"4"
179,"1"
180,"8"
181,"7"
182,"8"
183,"3"
184,"6"
185,"7"
186,"7"
